"Tabela 1.3.14.1 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos de atividade do trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.14.2 - Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos de atividade do trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Comércio e reparação,16061.906,1211.979,3903.928,6967.678,2604.175,1374.146,Comércio e reparação,19.3,21,20.6,18.5,19.1,19.2
Alojamento e alimentação,4261.278,310.283,1034.544,2016.487,520.985,378.979,Alojamento e alimentação,5.1,5.4,5.5,5.4,3.8,5.3
"Transporte, armazenagem e comunicação",5029.507,332.779,979.867,2496.817,811.017,409.027,"Transporte, armazenagem e comunicação",6,5.8,5.2,6.6,5.9,5.7
Administração pública,4777.61,464.19,1147.378,1919.608,665.601,580.833,Administração pública,5.7,8,6.1,5.1,4.9,8.1
"Educação, saúde e serviços sociais",9910.626,712.679,2285.707,4594.984,1487.097,830.159,"Educação, saúde e serviços sociais",11.9,12.3,12.1,12.2,10.9,11.6
Serviços domésticos,5447.264,347.627,1263.393,2553.618,773.771,508.855,Serviços domésticos,6.5,6,6.7,6.8,5.7,7.1
"Outros serviços coletivos, sociais e pessoais",3875.112,227.524,806.482,1953.998,561.798,325.31,"Outros serviços coletivos, sociais e pessoais",4.7,3.9,4.3,5.2,4.1,4.5
Outras atividades,8030.092,328.993,1338.888,4453.578,1230.378,678.255,Outras atividades,9.7,5.7,7.1,11.8,9,9.5
Atividades maldefinidas,55.597,7.119,15.838,26.197,5.242,1.201,Atividades maldefinidas,0.1,0.1,0.1,0.1,0,0
Não possuíam,12180.149,1778.108,5184.126,3409.259,1341.567,467.089,Não possuíam,100,100,100,100,100,100
Agrícola,5920.418,967.111,3132.773,1031.262,600.867,188.405,Agrícola,48.6,54.4,60.4,30.2,44.8,40.3
Indústria,1030.65,158.875,281.106,354.654,196.187,39.828,Indústria,8.5,8.9,5.4,10.4,14.6,8.5
Indústria de transformação,992.893,143.611,273.089,346.687,191.883,37.623,Indústria de transformação,8.2,8.1,5.3,10.2,14.3,8.1
Construção,1272.401,140.389,475.543,469.288,131.729,55.452,Construção,10.4,7.9,9.2,13.8,9.8,11.9
Comércio e reparação,1266.968,187.737,467.346,424.988,132.924,53.973,Comércio e reparação,10.4,10.6,9,12.5,9.9,11.6
Alojamento e alimentação,429.846,58.571,143.339,164.702,41.698,21.536,Alojamento e alimentação,3.5,3.3,2.8,4.8,3.1,4.6
"Transporte, armazenagem e comunicação",290.34,42.005,94.171,115.491,29.702,8.971,"Transporte, armazenagem e comunicação",2.4,2.4,1.8,3.4,2.2,1.9
Administração pública,232.816,32.192,85.772,77.117,26.287,11.448,Administração pública,1.9,1.8,1.7,2.3,2,2.5
"Educação, saúde e serviços sociais",426.137,67.899,158.653,141.409,42.496,15.68,"Educação, saúde e serviços sociais",3.5,3.8,3.1,4.1,3.2,3.4
Serviços domésticos,861.403,88.697,249.818,384.165,85.774,52.949,Serviços domésticos,7.1,5,4.8,11.3,6.4,11.3
"Outros serviços coletivos, sociais e pessoais",201.524,19.438,57.89,94.03,22.462,7.704,"Outros serviços coletivos, sociais e pessoais",1.7,1.1,1.1,2.8,1.7,1.6
Outras atividades,233.259,11.807,34.694,145.388,31.441,9.929,Outras atividades,1.9,0.7,0.7,4.3,2.3,2.1
Atividades maldefinidas,14.387,3.387,3.021,6.765,-,1.214,Atividades maldefinidas,0.1,0.2,0.1,0.2,-,0.3
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
