"Tabela 1.3.4.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.4.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,"Tabela 1.3.4.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015",Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
Não determinados,162.547,17.428,51.873,36.533,43.518,13.195,Não determinados,0.1,0.2,0.2,0.1,0.2,0.1,Não determinados,75.5,54,66.9,86.9,90,87
Homens,66382.262,4839.104,15596.382,29885.629,10435.953,5625.194,Homens,100,100,100,100,100,100,Homens,77.6,66.5,67.3,82.9,83.5,86.7
Sem instrução e menos de 1 ano,3020.704,262.874,1232.784,900.42,341.353,283.273,Sem instrução e menos de 1 ano,4.6,5.4,7.9,3,3.3,5,Sem instrução e menos de 1 ano,40.8,36.1,34,46.7,52.3,59.8
1 a 3 anos,4682.563,424.072,1543.557,1645.204,649.143,420.587,1 a 3 anos,7.1,8.8,9.9,5.5,6.2,7.5,1 a 3 anos,50.5,39.2,44.7,55.3,57.7,65.7
4 a 7 anos,15725.678,1134.918,3993.939,6608.062,2624.974,1363.785,4 a 7 anos,23.7,23.5,25.6,22.1,25.2,24.2,4 a 7 anos,71,57.8,64.4,74.5,76.2,82.1
8 a 10 anos,13204.452,1026.393,2971.301,5900.705,2183.01,1123.043,8 a 10 anos,19.9,21.2,19.1,19.7,20.9,20,8 a 10 anos,86.5,77.5,81.8,88.6,89.8,92.5
11 a 14 anos,22523.091,1606.634,4798.059,10953.998,3418.947,1745.453,11 a 14 anos,33.9,33.2,30.8,36.7,32.8,31,11 a 14 anos,94.1,90.4,92.9,94.4,95,97
15 anos ou mais,7143.576,375.796,1030.394,3857.858,1195.431,684.097,15 anos ou mais,10.8,7.8,6.6,12.9,11.5,12.2,15 anos ou mais,97.1,96,96.8,96.9,97.4,98.9
Não determinados,82.198,8.417,26.348,19.382,23.095,4.956,Não determinados,0.1,0.2,0.2,0.1,0.2,0.1,Não determinados,77.7,54.2,65.9,94.7,94.3,91.8
Mulheres,72674.361,5132.205,18093.822,32569.37,10914.5,5964.464,Mulheres,100,100,100,100,100,100,Mulheres,78.9,70.7,71.7,82.3,82.3,87
Sem instrução e menos de 1 ano,3078.968,233.477,1192.308,985.167,388.05,279.966,Sem instrução e menos de 1 ano,4.2,4.5,6.6,3,3.6,4.7,Sem instrução e menos de 1 ano,40.2,37.6,36.4,40.5,46.3,56.5
1 a 3 anos,4545.388,331.945,1456.31,1749.999,649.499,357.635,1 a 3 anos,6.3,6.5,8,5.4,6,6,1 a 3 anos,52,40.7,46.9,56.7,55.3,64.5
4 a 7 anos,15390.184,1065.419,4055.376,6518.125,2512.859,1238.405,4 a 7 anos,21.2,20.8,22.4,20,23,20.8,4 a 7 anos,70.6,58.9,66.4,72.7,74,81.1
8 a 10 anos,13185.452,1036.02,3197.977,5900.49,2022.221,1028.744,8 a 10 anos,18.1,20.2,17.7,18.1,18.5,17.2,8 a 10 anos,85.9,78.6,81.8,87.6,89.6,91.8
11 a 14 anos,26369.916,1890.57,6323.534,12451.656,3614.912,2089.244,11 a 14 anos,36.3,36.8,34.9,38.2,33.1,35,11 a 14 anos,93.6,90.6,91.8,94.3,94.5,96.4
15 anos ou mais,10024.104,565.763,1842.792,4946.782,1706.536,962.231,15 anos ou mais,13.8,11,10.2,15.2,15.6,16.1,15 anos ou mais,97,96.2,96.7,96.8,97.1,98.3
Não determinados,80.349,9.011,25.525,17.151,20.423,8.239,Não determinados,0.1,0.2,0.1,0.1,0.2,0.1,Não determinados,73.4,53.8,68,79.5,85.5,84.3
,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
