"Tabela 1.3.26.1 - Pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.3.26.2 - Distribuição das pessoas de 10 anos ou mais de idade, por condição de atividade na semana de referência e posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Rio Grande do Norte,2975.62,2250.083,725.537,1643.944,1382.556,261.388,1331.676,867.527,464.149,Rio Grande do Norte,100,75.6,24.4,100,84.1,15.9,100,65.1,34.9
Paraíba,3411.321,2605.215,806.106,1974.267,1673.679,300.588,1437.054,931.536,505.518,Paraíba,100,76.4,23.6,100,84.8,15.2,100,64.8,35.2
Pernambuco,8100.013,5970.383,2129.63,4279.534,3572.705,706.829,3820.479,2397.678,1422.801,Pernambuco,100,73.7,26.3,100,83.5,16.5,100,62.8,37.2
Região Metropolitana de Recife,3454.326,2924.052,530.274,1877.073,1767.208,109.865,1577.253,1156.844,420.409,Região Metropolitana de Recife,100,84.6,15.4,100,94.1,5.9,100,73.3,26.7
Alagoas,2849.124,1915.987,933.137,1357.849,1091.075,266.774,1491.275,824.912,666.363,Alagoas,100,67.2,32.8,100,80.4,19.6,100,55.3,44.7
Sergipe,1920.947,1466.729,454.218,1140.842,958.275,182.567,780.105,508.454,271.651,Sergipe,100,76.4,23.6,100,84,16,100,65.2,34.8
Bahia,13085.093,9325.628,3759.465,7565.585,6169.398,1396.187,5519.508,3156.23,2363.278,Bahia,100,71.3,28.7,100,81.5,18.5,100,57.2,42.8
Região Metropolitana de Salvador,3477.228,3057.277,419.951,2243.244,2132.376,110.868,1233.984,924.901,309.083,Região Metropolitana de Salvador,100,87.9,12.1,100,95.1,4.9,100,75,25
Sudeste,75598.609,62454.999,13143.61,46008.415,42147.471,3860.944,29590.194,20307.528,9282.666,Sudeste,100,82.6,17.4,100,91.6,8.4,100,68.6,31.4
Minas Gerais,18379.764,14674.31,3705.454,11488.647,10124.13,1364.517,6891.117,4550.18,2340.937,Minas Gerais,100,79.8,20.2,100,88.1,11.9,100,66,34
Região Metropolitana de Belo Horizonte,4625.536,4034.18,591.356,3016.55,2868.399,148.151,1608.986,1165.781,443.205,Região Metropolitana de Belo Horizonte,100,87.2,12.8,100,95.1,4.9,100,72.5,27.5
Espírito Santo,3427.822,2780.138,647.684,2062.31,1857.812,204.498,1365.512,922.326,443.186,Espírito Santo,100,81.1,18.9,100,90.1,9.9,100,67.5,32.5
Rio de Janeiro,14646.539,12166.843,2479.696,8407.734,7758.169,649.565,6238.805,4408.674,1830.131,Rio de Janeiro,100,83.1,16.9,100,92.3,7.7,100,70.7,29.3
Região Metropolitana do Rio de Janeiro,10770.231,9073.957,1696.274,6245.604,5826.927,418.677,4524.627,3247.03,1277.597,Região Metropolitana do Rio de Janeiro,100,84.3,15.7,100,93.3,6.7,100,71.8,28.2
São Paulo,39144.484,32833.708,6310.776,24049.724,22407.36,1642.364,15094.76,10426.348,4668.412,São Paulo,100,83.9,16.1,100,93.2,6.8,100,69.1,30.9
Região Metropolitana de São Paulo,18604.133,15823.502,2780.631,11538.621,10819.257,719.364,7065.512,5004.245,2061.267,Região Metropolitana de São Paulo,100,85.1,14.9,100,93.8,6.2,100,70.8,29.2
Sul,25771.8,21350.453,4421.347,16100.149,14654.312,1445.837,9671.651,6696.141,2975.51,Sul,100,82.8,17.2,100,91,9,100,69.2,30.8
Paraná,9745.617,7947.032,1798.585,5993.314,5446.714,546.6,3752.303,2500.318,1251.985,Paraná,100,81.5,18.5,100,90.9,9.1,100,66.6,33.4
Região Metropolitana de Curitiba,3030.41,2554.45,475.96,1846.073,1739.454,106.619,1184.337,814.996,369.341,Região Metropolitana de Curitiba,100,84.3,15.7,100,94.2,5.8,100,68.8,31.2
Santa Catarina,6048.506,4902.014,1146.492,3736.156,3387.194,348.962,2312.35,1514.82,797.53,Santa Catarina,100,81,19,100,90.7,9.3,100,65.5,34.5
Rio Grande do Sul,9977.677,8501.407,1476.27,6370.679,5820.404,550.275,3606.998,2681.003,925.995,Rio Grande do Sul,100,85.2,14.8,100,91.4,8.6,100,74.3,25.7
Região Metropolitana de Porto Alegre,3722.776,3311.087,411.689,2316.191,2211.258,104.933,1406.585,1099.829,306.756,Região Metropolitana de Porto Alegre,100,88.9,11.1,100,95.5,4.5,100,78.2,21.8
Centro-Oeste,13339.641,11589.658,1749.983,8282.949,7777.162,505.787,5056.692,3812.496,1244.196,Centro-Oeste,100,86.9,13.1,100,93.9,6.1,100,75.4,24.6
Mato Grosso do Sul,2283.967,1980.415,303.552,1441.361,1347.245,94.116,842.606,633.17,209.436,Mato Grosso do Sul,100,86.7,13.3,100,93.5,6.5,100,75.1,24.9
Mato Grosso,2766.131,2304.152,461.979,1705.126,1546.175,158.951,1061.005,757.977,303.028,Mato Grosso,100,83.3,16.7,100,90.7,9.3,100,71.4,28.6
Goiás,5730.676,4983.775,746.901,3557.342,3355.243,202.099,2173.334,1628.532,544.802,Goiás,100,87,13,100,94.3,5.7,100,74.9,25.1
Distrito Federal,2558.867,2321.316,237.551,1579.12,1528.499,50.621,979.747,792.817,186.93,Distrito Federal,100,90.7,9.3,100,96.8,3.2,100,80.9,19.1
,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
