"Tabela 1.3.23.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,"Tabela 1.3.23.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,"Tabela 1.3.23.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
Pará,4407.685,598.487,1023.571,976.557,1474.574,327.335,7.161,Pará,100,13.6,23.2,22.2,33.5,7.4,0.2,Pará,64.5,35.3,54.9,77.3,89,95,56.4
Região Metropolitana de Belém,1592.726,111.538,293.428,368.519,642.421,172.751,4.069,Região Metropolitana de Belém,100,7,18.4,23.1,40.3,10.8,0.3,Região Metropolitana de Belém,82.8,48.8,70.4,88,94.7,98.5,74.1
Amapá,452.444,42.307,87.487,94.072,174.989,52.012,1.577,Amapá,100,9.4,19.3,20.8,38.7,11.5,0.3,Amapá,72.6,39,58.8,80.1,90.4,98,85.7
Tocantins,993.577,147.666,215.523,194.992,317.634,117.255,0.507,Tocantins,100,14.9,21.7,19.6,32,11.8,0.1,Tocantins,77,49.2,70.2,86.7,94,97.9,100
Nordeste,33690.204,5424.959,8049.315,6169.278,11121.593,2873.186,51.873,Nordeste,100,16.1,23.9,18.3,33,8.5,0.2,Nordeste,69.6,40.3,65.4,81.8,92.3,96.7,66.9
Maranhão,3093.692,440.457,663.695,652.398,1098.14,235.998,3.004,Maranhão,100,14.2,21.5,21.1,35.5,7.6,0.1,Maranhão,54.7,26,46.1,68.4,84.3,92.9,40
Piauí,1873.779,348.978,484.624,379.379,496.443,163.793,0.562,Piauí,100,18.6,25.9,20.2,26.5,8.7,0,Piauí,68.4,41.5,65.7,84.4,92.1,96.7,100
Ceará,5188.708,787.707,1089.218,1057.106,1840.758,406.057,7.862,Ceará,100,15.2,21,20.4,35.5,7.8,0.2,Ceará,67.6,37.4,61,79.4,91.3,96.3,70.7
Região Metropolitana de Fortaleza,2729.537,297.926,548.119,563.657,1066.491,247.682,5.662,Região Metropolitana de Fortaleza,100,10.9,20.1,20.7,39.1,9.1,0.2,Região Metropolitana de Fortaleza,81.6,51.1,72.6,88.4,95.9,99,84.2
Rio Grande do Norte,2250.083,327.099,574.354,377.246,748.134,218.306,4.944,Rio Grande do Norte,100,14.5,25.5,16.8,33.2,9.7,0.2,Rio Grande do Norte,75.6,45.4,72.2,85.4,94.9,98.1,70
Paraíba,2605.215,473.866,627.719,433.115,780.903,286.38,3.232,Paraíba,100,18.2,24.1,16.6,30,11,0.1,Paraíba,76.4,49.1,74.8,88.3,95.3,97.6,100
Pernambuco,5970.383,909.602,1414.349,1074.346,1969.511,586.688,15.887,Pernambuco,100,15.2,23.7,18,33,9.8,0.3,Pernambuco,73.7,43.2,69.8,86,94.1,96.9,76.3
Região Metropolitana de Recife,2924.052,300.353,618.906,507.386,1150.226,343.602,3.579,Região Metropolitana de Recife,100,10.3,21.2,17.4,39.3,11.8,0.1,Região Metropolitana de Recife,84.6,55.1,79,90,95.5,97.3,76.5
Alagoas,1915.987,356.122,547.44,323.423,522.258,164.857,1.887,Alagoas,100,18.6,28.6,16.9,27.3,8.6,0.1,Alagoas,67.2,40.2,67.1,80.6,91.7,96,50
Sergipe,1466.729,263.197,392.981,256.991,442.124,108.139,3.297,Sergipe,100,17.9,26.8,17.5,30.1,7.4,0.2,Sergipe,76.4,48.9,75.8,90.1,95.1,98,81.8
Bahia,9325.628,1517.931,2254.935,1615.274,3223.322,702.968,11.198,Bahia,100,16.3,24.2,17.3,34.6,7.5,0.1,Bahia,71.3,42.1,67.4,83.3,93.2,97.4,57.8
Região Metropolitana de Salvador,3057.277,245.927,632.615,522.757,1308.591,346.381,1.006,Região Metropolitana de Salvador,100,8,20.7,17.1,42.8,11.3,0,Região Metropolitana de Salvador,87.9,56.7,82.2,91.7,96.7,99.1,75
Sudeste,62454.999,5280.79,13126.187,11801.195,23405.654,8804.64,36.533,Sudeste,100,8.5,21,18.9,37.5,14.1,0.1,Sudeste,82.6,50.7,73.6,88.1,94.4,96.9,86.9
Minas Gerais,14674.31,1588.068,3990.324,2690.385,4819.697,1571.281,14.555,Minas Gerais,100,10.8,27.2,18.3,32.8,10.7,0.1,Minas Gerais,79.8,48.5,73.9,89.5,94.9,97.7,94.9
Região Metropolitana de Belo Horizonte,4034.18,350.77,902.498,747.738,1467.836,561.623,3.715,Região Metropolitana de Belo Horizonte,100,8.7,22.4,18.5,36.4,13.9,0.1,Região Metropolitana de Belo Horizonte,87.2,59.4,79.9,93.1,96.1,98.3,100
Espírito Santo,2780.138,295.658,654.861,509.733,956.483,360.404,2.999,Espírito Santo,100,10.6,23.6,18.3,34.4,13,0.1,Espírito Santo,81.1,49,75.1,89,95.3,96.9,83.4
Rio de Janeiro,12166.843,958.803,2333.208,2467.379,4528.553,1869.89,9.01,Rio de Janeiro,100,7.9,19.2,20.3,37.2,15.4,0.1,Rio de Janeiro,83.1,51,74.4,87.4,93.1,96.7,82.5
Região Metropolitana do Rio de Janeiro,9073.957,620.043,1597.151,1820.767,3482.032,1548.244,5.72,Região Metropolitana do Rio de Janeiro,100,6.8,17.6,20.1,38.4,17.1,0.1,Região Metropolitana do Rio de Janeiro,84.3,51.3,74.8,86.6,93.5,97.2,75
São Paulo,32833.708,2438.261,6147.794,6133.698,13100.921,5003.065,9.969,São Paulo,100,7.4,18.7,18.7,39.9,15.2,0,São Paulo,83.9,52.3,72.9,87.6,94.5,96.6,81.8
Região Metropolitana de São Paulo,15823.502,1053.746,2661.252,2903.171,6434.385,2765.571,5.377,Região Metropolitana de São Paulo,100,6.7,16.8,18.3,40.7,17.5,0,Região Metropolitana de São Paulo,85.1,53.9,72.4,87.3,94.6,97.5,83.3
Sul,21350.453,2028.045,5137.833,4205.231,7033.859,2901.967,43.518,Sul,100,9.5,24.1,19.7,32.9,13.6,0.2,Sul,82.8,53.5,75.1,89.7,94.8,97.3,90
Paraná,7947.032,797.179,1731.61,1512.864,2746.827,1130.434,28.118,Paraná,100,10,21.8,19,34.6,14.2,0.4,Paraná,81.5,50.2,74.3,88.2,94.2,97,89.9
Região Metropolitana de Curitiba,2554.45,170.489,475.483,476.396,953.307,473.492,5.283,Região Metropolitana de Curitiba,100,6.7,18.6,18.6,37.3,18.5,0.2,Região Metropolitana de Curitiba,84.3,45.5,75.6,89,95.1,98,91.7
Santa Catarina,4902.014,399.128,1040.447,993.15,1750.571,705.822,12.896,Santa Catarina,100,8.1,21.2,20.3,35.7,14.4,0.3,Santa Catarina,81,49.9,69.1,86.7,94.1,97.5,90
Rio Grande do Sul,8501.407,831.738,2365.776,1699.217,2536.461,1065.711,2.504,Rio Grande do Sul,100,9.8,27.8,20,29.8,12.5,0,Rio Grande do Sul,85.2,59.4,78.7,93,95.9,97.3,90.8
Região Metropolitana de Porto Alegre,3311.087,273.369,774.332,659.538,1100.598,501.479,1.771,Região Metropolitana de Porto Alegre,100,8.3,23.4,19.9,33.2,15.1,0.1,Região Metropolitana de Porto Alegre,88.9,63.4,83.4,92.9,96.5,98.3,87.5
Centro-Oeste,11589.658,1341.461,2602.19,2151.787,3834.697,1646.328,13.195,Centro-Oeste,100,11.6,22.5,18.6,33.1,14.2,0.1,Centro-Oeste,86.9,62,81.6,92.2,96.7,98.6,87
Mato Grosso do Sul,1980.415,265.124,516.528,338.895,599.16,257.173,3.535,Mato Grosso do Sul,100,13.4,26.1,17.1,30.3,13,0.2,Mato Grosso do Sul,86.7,61.8,83.3,94.2,97.9,99.5,80
Mato Grosso,2304.152,313.976,467.646,504.434,759.307,253.533,5.256,Mato Grosso,100,13.6,20.3,21.9,33,11,0.2,Mato Grosso,83.3,60.4,74.5,90.2,95.1,99.1,92.3
Goiás,4983.775,585.488,1233.426,950.808,1638.034,574.211,1.808,Goiás,100,11.7,24.7,19.1,32.9,11.5,0,Goiás,87,62.7,83.1,92.2,96.9,97.5,100
Distrito Federal,2321.316,176.873,384.59,357.65,838.196,561.411,2.596,Distrito Federal,100,7.6,16.6,15.4,36.1,24.2,0.1,Distrito Federal,90.7,63,84.2,93,96.8,98.9,80
,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,
,,,,,,,,,,,,,,,,(1) Inclusive as pessoas com anos de estudo instrução não determinado.,,,,,,,
