"Tabela 1.3.29.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Tabela 1.3.29.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"Tabela 1.3.29.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Sergipe,1466.729,154.345,298.404,494.165,334.685,85.782,52.055,27.13,Sergipe,100,10.5,20.4,33.7,22.8,5.9,3.6,1.9,Sergipe,76.4,56.8,71.7,80.8,81.9,88.3,91,93.7
Bahia,9325.628,925.831,1941.752,2960.092,2264.979,519.109,361.809,229.773,Bahia,100,10,20.9,31.8,24.4,5.6,3.9,2.5,Bahia,71.2,51.3,66.4,74.1,76.5,86.2,94.9,95.3
Região Metropolitana de Salvador,3057.277,151.523,440.108,1001.51,857.381,229.128,192.512,140.429,Região Metropolitana de Salvador,100,5,14.5,32.9,28.2,7.5,6.3,4.6,Região Metropolitana de Salvador,87.9,74.4,82.6,87.3,89.5,94.6,96.1,98.1
Sudeste,62454.999,1715.427,5385.806,15514.814,21426.852,7374.144,4652.715,4013.27,Sudeste,100,2.8,8.6,24.9,34.4,11.8,7.5,6.4,Sudeste,82.6,68.8,73.1,79.7,82.6,88.5,92.4,95.5
Minas Gerais,14674.31,542.613,1676.215,4134.357,5095.654,1449.078,897.3,717.995,Minas Gerais,100,3.7,11.4,28.2,34.8,9.9,6.1,4.9,Minas Gerais,79.8,62.5,69.7,77.7,81.5,90,92.1,95.3
Região Metropolitana de Belo Horizonte,4034.18,109.772,330.526,1009.348,1423.267,457.245,298.783,323.114,Região Metropolitana de Belo Horizonte,100,2.7,8.2,25.1,35.4,11.4,7.4,8,Região Metropolitana de Belo Horizonte,87.2,78.5,81.3,83.1,87.8,92.7,92.8,96
Espírito Santo,2780.138,104.343,328.626,747.204,905.5,285.471,185.912,142.124,Espírito Santo,100,3.8,11.8,26.9,32.6,10.3,6.7,5.1,Espírito Santo,81.1,61.3,72.8,78.8,82.5,88.6,94.2,94
Rio de Janeiro,12166.843,285.721,1219.34,3293.125,3976.188,1255.112,857.129,931.927,Rio de Janeiro,100,2.4,10,27.1,32.7,10.3,7.1,7.7,Rio de Janeiro,83.1,71.1,75.7,81.5,81.6,87.7,91.8,95.4
Região Metropolitana do Rio de Janeiro,9073.957,196.919,841.77,2370.257,2958.603,964.379,705.84,785.243,Região Metropolitana do Rio de Janeiro,100,2.2,9.3,26.2,32.6,10.6,7.8,8.7,Região Metropolitana do Rio de Janeiro,84.2,72.3,77.7,82,82.7,89.1,92.3,95.4
São Paulo,32833.708,782.75,2161.625,7340.128,11449.51,4384.483,2712.374,2221.224,São Paulo,100,2.4,6.6,22.4,34.9,13.4,8.3,6.8,São Paulo,83.9,74.3,74.4,80.1,83.4,88.2,92.5,95.7
Região Metropolitana de São Paulo,15823.502,444.086,1002.132,3516.059,5136.553,2083.85,1311.791,1360.212,Região Metropolitana de São Paulo,100,2.8,6.3,22.3,32.5,13.2,8.3,8.6,Região Metropolitana de São Paulo,85.1,75.5,76.1,80.6,84.8,89.2,93.1,96.5
Sul,21350.453,444.911,1317.041,4591.774,7947.176,3205.124,1993.039,1304.073,Sul,100,2.1,6.2,21.6,37.3,15,9.4,6.1,Sul,82.8,63.7,69.9,79.9,82.1,88.5,92.9,95
Paraná,7947.032,174.688,525.554,1863.264,2906.742,1123.325,692.03,490.765,Paraná,100,2.2,6.6,23.5,36.7,14.2,8.7,6.2,Paraná,81.5,57.2,68.5,76.6,82,90.2,93,95.8
Região Metropolitana de Curitiba,2554.45,36.979,113.816,515.805,924.477,413.984,247.328,254.994,Região Metropolitana de Curitiba,100,1.5,4.5,20.2,36.3,16.2,9.7,10,Região Metropolitana de Curitiba,84.3,62.6,64.1,78.8,83.4,91.7,94.8,95.7
Santa Catarina,4902.014,44.428,202.067,890.689,1876.655,847.705,584.737,288.058,Santa Catarina,100,0.9,4.1,18.2,38.4,17.3,12,5.9,Santa Catarina,81,59.6,61,77.4,78.6,87.9,91.9,94.4
Rio Grande do Sul,8501.407,225.795,589.42,1837.821,3163.779,1234.094,716.272,525.25,Rio Grande do Sul,100,2.7,6.9,21.7,37.3,14.5,8.4,6.2,Rio Grande do Sul,85.2,71,75.1,85,84.4,87.5,93.7,94.6
Região Metropolitana de Porto Alegre,3311.087,76.112,193.217,710.095,1166.565,460.786,295.119,272.125,Região Metropolitana de Porto Alegre,100,2.3,5.8,21.5,35.3,13.9,8.9,8.2,Região Metropolitana de Porto Alegre,88.9,77.8,78.8,86.5,88.4,92.9,95.3,96
Centro-Oeste,11589.658,276.44,1001.63,2999.592,4015.875,1369.47,915.006,814.805,Centro-Oeste,100,2.4,8.7,25.9,34.7,11.8,7.9,7,Centro-Oeste,86.9,71.4,76.3,84.4,87.6,92.7,95.3,97.4
Mato Grosso do Sul,1980.415,37.559,149.791,523.599,740.104,229.774,173.669,112.666,Mato Grosso do Sul,100,1.9,7.6,26.5,37.5,11.6,8.8,5.7,Mato Grosso do Sul,86.7,70.2,73.5,82.9,87.8,93.2,97.8,99.2
Mato Grosso,2304.152,51.234,227.26,599.025,837.258,282.861,154.13,97.651,Mato Grosso,100,2.2,9.9,26,36.3,12.3,6.7,4.2,Mato Grosso,83.3,64.6,70.6,80.6,84.4,92.3,95.7,98.7
Goiás,4983.775,142.863,477.895,1432.339,1783.617,576.464,298.413,183.565,Goiás,100,2.9,9.6,28.8,35.9,11.6,6,3.7,Goiás,87,74.2,78.8,86,87.8,92.4,94,96.2
Distrito Federal,2321.316,44.784,146.684,444.629,654.896,280.371,288.794,420.923,Distrito Federal,100,1.9,6.3,19.2,28.3,12.1,12.5,18.2,Distrito Federal,90.7,72.3,81.2,86.3,90.9,93.3,95.1,97.2
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,
"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,,,,"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,,,,"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,,,
(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.,,,,,,,,,(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.,,,,,,,,,(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.,,,,,,,,
