"Tabela 1.3.22.1 - Pessoas de 10 anos ou mais de idade, total e que tinham telefone móvel celular para uso pessoal, por situação do domicílio, segundo as Grandes Regiões e as Unidades da Federação - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.22.2 - Distribuição das pessoas de 10 anos ou mais de idade, total e que tinham telefone móvel celular para uso pessoal, e percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por situação do domicílio, segundo as Grandes Regiões e as Unidades da Federação - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Paraíba,3411.321,2741.566,669.755,2605.215,2197.92,407.295,Paraíba,100,80.4,19.6,100,84.4,15.6,76.4,80.2,60.8
Pernambuco,8100.013,6494.223,1605.79,5970.383,5188.393,781.99,Pernambuco,100,80.2,19.8,100,86.9,13.1,73.7,79.9,48.7
Alagoas,2849.124,2102.881,746.243,1915.987,1561.753,354.234,Alagoas,100,73.8,26.2,100,81.5,18.5,67.2,74.3,47.5
Sergipe,1920.947,1373.251,547.696,1466.729,1125.073,341.656,Sergipe,100,71.5,28.5,100,76.7,23.3,76.4,81.9,62.4
Bahia,13085.093,9717.469,3367.624,9325.628,7790.408,1535.22,Bahia,100,74.3,25.7,100,83.5,16.5,71.3,80.2,45.6
Sudeste,75598.609,70444.333,5154.276,62454.999,59179.449,3275.55,Sudeste,100,93.2,6.8,100,94.8,5.2,82.6,84,63.6
Minas Gerais,18379.764,15450.814,2928.95,14674.31,12958.312,1715.998,Minas Gerais,100,84.1,15.9,100,88.3,11.7,79.8,83.9,58.6
Espírito Santo,3427.822,2915.076,512.746,2780.138,2467.693,312.445,Espírito Santo,100,85,15,100,88.8,11.2,81.1,84.7,60.9
Rio de Janeiro,14646.539,14260.455,386.084,12166.843,11921.102,245.741,Rio de Janeiro,100,97.4,2.6,100,98,2,83.1,83.6,63.6
São Paulo,39144.484,37817.988,1326.496,32833.708,31832.342,1001.366,São Paulo,100,96.6,3.4,100,97,3,83.9,84.2,75.5
Sul,25771.8,22018.341,3753.459,21350.453,18828.559,2521.894,Sul,100,85.4,14.6,100,88.2,11.8,82.8,85.5,67.2
Paraná,9745.617,8510.383,1235.234,7947.032,7122.382,824.65,Paraná,100,87.3,12.7,100,89.6,10.4,81.5,83.7,66.8
Santa Catarina,6048.506,5056.787,991.719,4902.014,4277.889,624.125,Santa Catarina,100,83.6,16.4,100,87.3,12.7,81,84.6,62.9
Rio Grande do Sul,9977.677,8451.171,1526.506,8501.407,7428.288,1073.119,Rio Grande do Sul,100,84.7,15.3,100,87.4,12.6,85.2,87.9,70.3
Centro-Oeste,13339.641,11998.174,1341.467,11589.658,10612.821,976.837,Centro-Oeste,100,89.9,10.1,100,91.6,8.4,86.9,88.5,72.8
Mato Grosso do Sul,2283.967,2038.294,245.673,1980.415,1789.977,190.438,Mato Grosso do Sul,100,89.2,10.8,100,90.4,9.6,86.7,87.8,77.5
Mato Grosso,2766.131,2264.76,501.371,2304.152,1985.821,318.331,Mato Grosso,100,81.9,18.1,100,86.2,13.8,83.3,87.7,63.5
Goiás,5730.676,5251.433,479.243,4983.775,4610.772,373.003,Goiás,100,91.6,8.4,100,92.5,7.5,87,87.8,77.8
Distrito Federal,2558.867,2443.687,115.18,2321.316,2226.251,95.065,Distrito Federal,100,95.5,4.5,100,95.9,4.1,90.7,91.1,82.5
,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
