"Tabela 1.3.16.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e as classes de rendimento mensal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.3.16.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e as classes de rendimento mensal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Mais de 5 a 10 salário mínimos,2427.754,98.358,289.529,1324.727,423.379,291.761,Mais de 5 a 10 salário mínimos,1.4,0.7,0.6,1.8,1.6,2.2
Mais de10 a 20 salário mínimos,952.907,27.025,109.665,538.482,155.091,122.644,Mais de10 a 20 salário mínimos,0.5,0.2,0.2,0.7,0.6,0.9
Mais de 20 salários mínimos,52271.646,5042.855,15206.225,21842.837,6416.769,3762.96,Mais de 20 salários mínimos,29.4,34.7,31.4,28.9,24.9,28.2
Possuíam (1),139056.623,9971.309,33690.204,62454.999,21350.453,11589.658,Possuíam (1),100,100,100,100,100,100
Sem rendimento (2),37853.89,3023.562,9759.912,17099.672,4923.979,3046.765,Sem rendimento (2),27.2,30.3,29,27.4,23.1,26.3
Até 1/2 salário mínimo,8399.166,861.303,4353.488,2073.183,649.522,461.67,Até 1/2 salário mínimo,6,8.6,12.9,3.3,3,4
Mais de 1/2 a 1 salário mínimos,7077.645,784.181,2848.64,2167.939,820.078,456.807,Mais de 1/2 a 1 salário mínimos,5.1,7.9,8.5,3.5,3.8,3.9
Mais de 1 a 2 salário mínimos,43402.878,3165.058,11076.489,18961.54,6581.353,3618.438,Mais de 1 a 2 salário mínimos,31.2,31.7,32.9,30.4,30.8,31.2
Mais de 2 a 3 salário mínimos,18673.724,992.886,2632.438,9527.804,3796.121,1724.475,Mais de 2 a 3 salário mínimos,13.4,10,7.8,15.3,17.8,14.9
Mais de 3 a 5 salários mínimos,11657.912,607.611,1542.484,6059.303,2393.658,1054.856,Mais de 3 a 5 salários mínimos,8.4,6.1,4.6,9.7,11.2,9.1
Mais de 5 a 10 salário mínimos,7051.484,363.443,925.643,3623.49,1396.736,742.172,Mais de 5 a 10 salário mínimos,5.1,3.6,2.7,5.8,6.5,6.4
Mais de10 a 20 salário mínimos,2363.385,94.109,281.475,1286.272,413.049,288.48,Mais de10 a 20 salário mínimos,1.7,0.9,0.8,2.1,1.9,2.5
Mais de 20 salários mínimos,924.741,26.105,105.799,525.252,147.144,120.441,Mais de 20 salários mínimos,0.7,0.3,0.3,0.8,0.7,1
Não possuíam (1),38600.199,4565.559,14719.7,13143.61,4421.347,1749.983,Não possuíam (1),100,100,100,100,100,100
Sem rendimento (2),14417.756,2019.293,5446.313,4743.165,1492.79,716.195,Sem rendimento (2),37.4,44.2,37,36.1,33.8,40.9
Até 1/2 salário mínimo,3971.519,568.653,2454.092,633.338,208.997,106.439,Até 1/2 salário mínimo,10.3,12.5,16.7,4.8,4.7,6.1
Mais de 1/2 a 1 salário mínimos,2145.451,416.025,1065.397,455.93,148.376,59.723,Mais de 1/2 a 1 salário mínimos,5.6,9.1,7.2,3.5,3.4,3.4
Mais de 1 a 2 salário mínimos,13745.833,1259.575,4863,5224.039,1752.255,646.964,Mais de 1 a 2 salário mínimos,35.6,27.6,33,39.7,39.6,37
Mais de 2 a 3 salário mínimos,2782.583,201.114,640.426,1269.775,527.886,143.382,Mais de 2 a 3 salário mínimos,7.2,4.4,4.4,9.7,11.9,8.2
Mais de 3 a 5 salários mínimos,844.277,50.244,88.64,480.998,178.307,46.088,Mais de 3 a 5 salários mínimos,2.2,1.1,0.6,3.7,4,2.6
Mais de 5 a 10 salário mínimos,306.196,21.152,41.262,162.448,65.981,15.353,Mais de 5 a 10 salário mínimos,0.8,0.5,0.3,1.2,1.5,0.9
Mais de10 a 20 salário mínimos,64.369,4.249,8.054,38.455,10.33,3.281,Mais de10 a 20 salário mínimos,0.2,0.1,0.1,0.3,0.2,0.2
Mais de 20 salários mínimos,28.166,0.92,3.866,13.23,7.947,2.203,Mais de 20 salários mínimos,0.1,0,0,0.1,0.2,0.1
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
(1) Inclusive as pessoas sem declaração  de  rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,,(1) Inclusive as pessoas sem declaração  de  rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,
