"Tabela 1.1.36.1 - Pessoas de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,"Tabela 1.1.36.2 - Distribuição das pessoas de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Pernambuco,8100.013,1074.947,1879.368,2576.663,1677.194,346.627,243.567,176.801,Pernambuco,100,13.3,23.3,31.9,20.8,4.3,3,2.2
Região Metropolitana de Recife,3454.326,284.123,683.864,1160.44,832.545,185.841,152.801,129.1,Região Metropolitana de Recife,100,8.2,19.9,33.7,24.2,5.4,4.4,3.7
Alagoas,2849.124,486.382,705.989,843.151,537.371,125.845,59.774,27.059,Alagoas,100,17.1,24.8,29.6,18.9,4.4,2.1,1
Sergipe,1920.947,271.655,416.451,611.465,408.752,97.146,57.187,28.963,Sergipe,100,14.2,21.7,31.9,21.3,5.1,3,1.5
Bahia,13085.093,1805.535,2924.031,3993.862,2960.295,601.962,381.292,241.083,Bahia,100,13.8,22.4,30.6,22.7,4.6,2.9,1.8
Região Metropolitana de Salvador,3477.228,203.597,532.832,1147.316,957.834,242.23,200.24,143.117,Região Metropolitana de Salvador,100,5.9,15.4,33.1,27.7,7,5.8,4.1
Sudeste,75598.609,2494.026,7371.25,19468.789,25944.052,8334.391,5037.803,4201.111,Sudeste,100,3.3,9.8,25.8,34.4,11,6.7,5.6
Minas Gerais,18379.764,868.497,2403.323,5322.393,6253.056,1610.413,974.611,753.294,Minas Gerais,100,4.7,13.1,29,34.1,8.8,5.3,4.1
Região Metropolitana de Belo Horizonte,4625.536,139.902,406.458,1214.855,1621.345,493.145,321.893,336.737,Região Metropolitana de Belo Horizonte,100,3,8.8,26.3,35.2,10.7,7,7.3
Espírito Santo,3427.822,170.316,451.565,948.096,1098.006,322.053,197.308,151.123,Espírito Santo,100,5,13.2,27.7,32.1,9.4,5.8,4.4
Rio de Janeiro,14646.539,402.1,1611.395,4038.433,4870.558,1431.817,933.973,976.642,Rio de Janeiro,100,2.7,11,27.6,33.3,9.8,6.4,6.7
Região Metropolitana do Rio de Janeiro,10770.231,272.519,1083.193,2889.291,3579.323,1082.543,764.923,822.722,Região Metropolitana do Rio de Janeiro,100,2.5,10.1,26.9,33.3,10.1,7.1,7.6
São Paulo,39144.484,1053.113,2904.967,9159.867,13722.432,4970.108,2931.911,2320.052,São Paulo,100,2.7,7.4,23.4,35.1,12.7,7.5,5.9
Região Metropolitana de São Paulo,18604.133,588.169,1316.113,4362.285,6054.818,2336.549,1409.64,1409.674,Região Metropolitana de São Paulo,100,3.2,7.1,23.5,32.6,12.6,7.6,7.6
Sul,25771.8,698.11,1883.041,5744.543,9682.71,3620.128,2144.523,1372.588,Sul,100,2.7,7.3,22.3,37.6,14.1,8.3,5.3
Paraná,9745.617,305.603,767.423,2433.335,3544.276,1244.765,743.763,512.366,Paraná,100,3.1,7.9,25,36.4,12.8,7.6,5.3
Região Metropolitana de Curitiba,3030.41,59.072,177.691,654.608,1107.937,451.453,260.779,266.52,Região Metropolitana de Curitiba,100,2,5.9,21.6,36.6,14.9,8.6,8.8
Santa Catarina,6048.506,74.523,331.05,1150.072,2388.283,964.51,636.328,305.256,Santa Catarina,100,1.2,5.5,19.1,39.6,16,10.5,5.1
Rio Grande do Sul,9977.677,317.984,784.568,2161.136,3750.151,1410.853,764.432,554.966,Rio Grande do Sul,100,3.2,7.9,21.7,37.7,14.2,7.7,5.6
Região Metropolitana de Porto Alegre,3722.776,97.86,245.311,821.361,1320.071,495.936,309.532,283.499,Região Metropolitana de Porto Alegre,100,2.6,6.6,22.1,35.5,13.3,8.3,7.6
Centro-Oeste,13339.641,387.305,1312.588,3554.736,4586.248,1477.504,959.91,836.246,Centro-Oeste,100,2.9,9.9,26.7,34.5,11.1,7.2,6.3
Mato Grosso do Sul,2283.967,53.47,203.694,631.416,843.047,246.565,177.646,113.55,Mato Grosso do Sul,100,2.3,8.9,27.7,37,10.8,7.8,5
Mato Grosso,2766.131,79.263,321.843,743.092,992.267,306.51,161.137,98.965,Mato Grosso,100,2.9,11.6,26.9,35.9,11.1,5.8,3.6
Goiás,5730.676,192.596,606.298,1665.178,2030.478,623.936,317.402,190.8,Goiás,100,3.4,10.6,29.1,35.5,10.9,5.6,3.3
Distrito Federal,2558.867,61.976,180.753,515.05,720.456,300.493,303.725,432.931,Distrito Federal,100,2.4,7.1,20.2,28.2,11.8,11.9,17
,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,
"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,,,,"Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.",,,,,,,,
(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.,,,,,,,,,(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.,,,,,,,,
