"Tabela 1.1.17.1 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e os grupamentos de atividade do trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.17.2 - Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e os grupamentos de atividade do trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Utilizaram,60488.908,3703.493,11758.919,29633.825,10144.174,5248.497,Utilizaram,100,100,100,100,100,100
Agrícola,2262.491,206.231,567.42,758.03,489.633,241.177,Agrícola,3.7,5.6,4.8,2.6,4.8,4.6
Indústria,8331.188,347.656,1164.781,4404.823,1885.49,528.438,Indústria,13.8,9.4,9.9,14.9,18.6,10.1
Indústria de transformação,7791.497,302.558,1060.241,4126.742,1813.799,488.157,Indústria de transformação,12.9,8.2,9,13.9,17.9,9.3
Construção,4052.063,289.059,798.242,1946.996,642.5,375.266,Construção,6.7,7.8,6.8,6.6,6.3,7.1
Comércio e reparação,12725.753,849.342,2726.419,5840.174,2185.502,1124.316,Comércio e reparação,21,22.9,23.2,19.7,21.5,21.4
Alojamento e alimentação,3098.993,201.53,660.382,1560.882,391.718,284.481,Alojamento e alimentação,5.1,5.4,5.6,5.3,3.9,5.4
"Transporte, armazenagem e comunicação",3639.176,213.029,618.182,1949.811,576.581,281.573,"Transporte, armazenagem e comunicação",6,5.8,5.3,6.6,5.7,5.4
Administração pública,4049.562,372.628,919.179,1659.602,583.883,514.27,Administração pública,6.7,10.1,7.8,5.6,5.8,9.8
"Educação, saúde e serviços sociais",9002.676,594.282,1944.139,4320.068,1393.549,750.638,"Educação, saúde e serviços sociais",14.9,16,16.5,14.6,13.7,14.3
Serviços domésticos,2780.437,173.204,589.673,1378.712,384.141,254.707,Serviços domésticos,4.6,4.7,5,4.7,3.8,4.9
"Outros serviços coletivos, sociais e pessoais",3275.56,179.464,624.909,1706.971,485.689,278.527,"Outros serviços coletivos, sociais e pessoais",5.4,4.8,5.3,5.8,4.8,5.3
Outras atividades,7241.837,274.314,1140.814,4089.143,1123.338,614.228,Outras atividades,12,7.4,9.7,13.8,11.1,11.7
Atividades maldefinidas,29.172,2.754,4.779,18.613,2.15,0.876,Atividades maldefinidas,0,0.1,0,0.1,0,0
Não utilizaram,34891.575,3855.309,12369.872,11421.756,4850.908,2393.73,Não utilizaram,100,100,100,100,100,100
Agrícola,11201.721,1489.128,5204.452,2340.178,1503.154,664.809,Agrícola,32.1,38.6,42.1,20.5,31,27.8
Indústria,3631.46,361.218,915.009,1332.681,789.31,233.242,Indústria,10.4,9.4,7.4,11.7,16.3,9.7
Indústria de transformação,3456.485,327.142,873.456,1269.124,766.763,220,Indústria de transformação,9.9,8.5,7.1,11.1,15.8,9.2
Construção,4495.888,410.604,1408.158,1735.853,612.147,329.126,Construção,12.9,10.7,11.4,15.2,12.6,13.7
Comércio e reparação,4603.121,550.374,1644.855,1552.492,551.597,303.803,Comércio e reparação,13.2,14.3,13.3,13.6,11.4,12.7
Alojamento e alimentação,1592.131,167.324,517.501,620.307,170.965,116.034,Alojamento e alimentação,4.6,4.3,4.2,5.4,3.5,4.8
"Transporte, armazenagem e comunicação",1680.671,161.755,455.856,662.497,264.138,136.425,"Transporte, armazenagem e comunicação",4.8,4.2,3.7,5.8,5.4,5.7
Administração pública,960.864,123.754,313.971,337.123,108.005,78.011,Administração pública,2.8,3.2,2.5,3,2.2,3.3
"Educação, saúde e serviços sociais",1334.087,186.296,500.221,416.325,136.044,95.201,"Educação, saúde e serviços sociais",3.8,4.8,4,3.6,2.8,4
Serviços domésticos,3528.23,263.12,923.538,1559.071,475.404,307.097,Serviços domésticos,10.1,6.8,7.5,13.7,9.8,12.8
"Outros serviços coletivos, sociais e pessoais",801.076,67.498,239.463,341.057,98.571,54.487,"Outros serviços coletivos, sociais e pessoais",2.3,1.8,1.9,3,2,2.3
Outras atividades,1021.514,66.486,232.768,509.823,138.481,73.956,Outras atividades,2.9,1.7,1.9,4.5,2.9,3.1
Atividades maldefinidas,40.812,7.752,14.08,14.349,3.092,1.539,Atividades maldefinidas,0.1,0.2,0.1,0.1,0.1,0.1
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
