"Tabela 1.1.27.1 - Pessoas de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,"Tabela 1.1.27.2 - Distribuição das pessoas de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Bahia,13085.093,3603.181,3345.016,1938.53,3457.329,721.666,19.371,Bahia,100,27.5,25.6,14.8,26.4,5.5,0.1
Região Metropolitana de Salvador,3477.228,433.73,769.687,570.128,1352.936,349.405,1.342,Região Metropolitana de Salvador,100,12.5,22.1,16.4,38.9,10,0
Sudeste,75598.609,10419.771,17839.273,13400.16,24806.843,9090.527,42.035,Sudeste,100,13.8,23.6,17.7,32.8,12,0.1
Minas Gerais,18379.764,3274.558,5396.522,3007.382,5077.323,1608.649,15.33,Minas Gerais,100,17.8,29.4,16.4,27.6,8.8,0.1
Região Metropolitana de Belo Horizonte,4625.536,590.936,1129.469,803.032,1527.266,571.118,3.715,Região Metropolitana de Belo Horizonte,100,12.8,24.4,17.4,33,12.3,0.1
Espírito Santo,3427.822,603.907,871.96,572.7,1003.857,371.8,3.598,Espírito Santo,100,17.6,25.4,16.7,29.3,10.8,0.1
Rio de Janeiro,14646.539,1880.611,3137.049,2821.862,4863.306,1932.796,10.915,Rio de Janeiro,100,12.8,21.4,19.3,33.2,13.2,0.1
Região Metropolitana do Rio de Janeiro,10770.231,1208.35,2135.255,2101.577,3725.351,1592.073,7.625,Região Metropolitana do Rio de Janeiro,100,11.2,19.8,19.5,34.6,14.8,0.1
São Paulo,39144.484,4660.695,8433.742,6998.216,13862.357,5177.282,12.192,São Paulo,100,11.9,21.5,17.9,35.4,13.2,0
Região Metropolitana de São Paulo,18604.133,1954.814,3675.2,3326.851,6803.2,2837.616,6.452,Região Metropolitana de São Paulo,100,10.5,19.8,17.9,36.6,15.3,0
Sul,25771.8,3788.984,6840.289,4687.615,7422.807,2983.734,48.371,Sul,100,14.7,26.5,18.2,28.8,11.6,0.2
Paraná,9745.617,1587.703,2329.516,1715.013,2917.21,1164.89,31.285,Paraná,100,16.3,23.9,17.6,29.9,12,0.3
Região Metropolitana de Curitiba,3030.41,374.603,628.704,535.462,1002.78,483.098,5.763,Região Metropolitana de Curitiba,100,12.4,20.7,17.7,33.1,15.9,0.2
Santa Catarina,6048.506,800.395,1504.785,1145.777,1859.483,723.737,14.329,Santa Catarina,100,13.2,24.9,18.9,30.7,12,0.2
Rio Grande do Sul,9977.677,1400.886,3005.988,1826.825,2646.114,1095.107,2.757,Rio Grande do Sul,100,14,30.1,18.3,26.5,11,0
Região Metropolitana de Porto Alegre,3722.776,430.921,928.846,710.106,1140.55,510.329,2.024,Região Metropolitana de Porto Alegre,100,11.6,25,19.1,30.6,13.7,0.1
Centro-Oeste,13339.641,2164.07,3188.378,2334.256,3967.292,1670.479,15.166,Centro-Oeste,100,16.2,23.9,17.5,29.7,12.5,0.1
Mato Grosso do Sul,2283.967,429.045,620.371,359.662,611.971,258.499,4.419,Mato Grosso do Sul,100,18.8,27.2,15.7,26.8,11.3,0.2
Mato Grosso,2766.131,519.785,627.48,559.167,798.282,255.723,5.694,Mato Grosso,100,18.8,22.7,20.2,28.9,9.2,0.2
Goiás,5730.676,934.524,1483.893,1030.839,1690.931,588.681,1.808,Goiás,100,16.3,25.9,18,29.5,10.3,0
Distrito Federal,2558.867,280.716,456.634,384.588,866.108,567.576,3.245,Distrito Federal,100,11,17.8,15,33.8,22.2,0.1
,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,
