"Tabela 1.1.16.1 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e os grupamentos ocupacionais no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.16.2 - Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, e os grupamentos ocupacionais no trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Trabalhadores de serviços administrativos,8156.843,484.15,1505.512,4145.192,1326.735,695.254,Trabalhadores de serviços administrativos,13.5,13.1,12.8,14,13.1,13.2
Trabalhadores dos serviços,11004.645,682.145,2282.103,5531.652,1520.816,987.929,Trabalhadores dos serviços,18.2,18.4,19.4,18.7,15,18.8
Vendedores e prestadores de serviço do comércio,6582.539,481.089,1613.61,2939.465,976.929,571.446,Vendedores e prestadores de serviço do comércio,10.9,13,13.7,9.9,9.6,10.9
Trabalhadores agrícolas,2177.462,205.447,560.045,726.911,480.416,204.643,Trabalhadores agrícolas,3.6,5.5,4.8,2.5,4.7,3.9
Trabalhadores da produção de bens e serviços e de reparação e manutenção,12705.87,774.355,2289.648,6191.811,2397.08,1052.976,Trabalhadores da produção de bens e serviços e de reparação e manutenção,21,20.9,19.5,20.9,23.6,20.1
Membros das forças armadas e auxiliares,791.548,68.335,163.204,362.217,96.571,101.221,Membros das forças armadas e auxiliares,1.3,1.8,1.4,1.2,1,1.9
Ocupações maldefinidas,16.208,0.27,0.751,13.023,2.164,-,Ocupações maldefinidas,0,0,0,0,0,-
Não utilizaram,34891.575,3855.309,12369.872,11421.756,4850.908,2393.73,Não utilizaram,100,100,100,100,100,100
Dirigentes em geral,559.802,57.86,152.197,212.252,94.309,43.184,Dirigentes em geral,1.6,1.5,1.2,1.9,1.9,1.8
Profissionais das ciências e das artes,550.025,82.515,189.537,169.919,70.583,37.471,Profissionais das ciências e das artes,1.6,2.1,1.5,1.5,1.5,1.6
Técnicos de nível médio,767.452,100.686,254.87,269.575,95.909,46.412,Técnicos de nível médio,2.2,2.6,2.1,2.4,2,1.9
Trabalhadores de serviços administrativos,837.656,80.482,220.356,338.182,134.217,64.419,Trabalhadores de serviços administrativos,2.4,2.1,1.8,3,2.8,2.7
Trabalhadores dos serviços,8251.419,693.629,2329.958,3485.448,1085.288,657.096,Trabalhadores dos serviços,23.6,18,18.8,30.5,22.4,27.5
Vendedores e prestadores de serviço do comércio,2740.558,388.745,1111.79,840.586,228.903,170.534,Vendedores e prestadores de serviço do comércio,7.9,10.1,9,7.4,4.7,7.1
Trabalhadores agrícolas,11134.658,1488.807,5211.145,2295.367,1497.718,641.621,Trabalhadores agrícolas,31.9,38.6,42.1,20.1,30.9,26.8
Trabalhadores da produção de bens e serviços e de reparação e manutenção,9995.253,951.939,2885.448,3794.021,1634.711,729.134,Trabalhadores da produção de bens e serviços e de reparação e manutenção,28.6,24.7,23.3,33.2,33.7,30.5
Membros das forças armadas e auxiliares,51.784,10.646,13.545,15.806,7.928,3.859,Membros das forças armadas e auxiliares,0.1,0.3,0.1,0.1,0.2,0.2
Ocupações maldefinidas,2.968,-,1.026,0.6,1.342,-,Ocupações maldefinidas,0,-,0,0,0,-
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
