"Tabela 1.1.18.1 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,"Tabela 1.1.18.2 - Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a utilização da Internet, no período de referência dos últimos três meses, a posição na ocupação e a categoria do emprego no trabalho principal - 2015",Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Outros sem carteira de trabalho assinada,13411.278,1416.919,4672.631,4779.973,1482.873,1058.882,Outros sem carteira de trabalho assinada,14.1,18.7,19.4,11.6,9.9,13.9
Conta própria,21823.126,2206.772,6581.896,8197.837,3184.027,1652.594,Conta própria,22.9,29.2,27.3,20,21.2,21.6
Empregadores,3550.566,195.955,645.449,1636.161,747.445,325.556,Empregadores,3.7,2.6,2.7,4,5,4.3
Não remunerados,2286.518,369.137,856.729,540.267,396.305,124.08,Não remunerados,2.4,4.9,3.6,1.3,2.6,1.6
Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,3846.97,440.191,1977.361,784.479,492.176,152.763,Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,4,5.8,8.2,1.9,3.3,2
Utilizaram,60488.908,3703.493,11758.919,29633.825,10144.174,5248.497,Utilizaram,100,100,100,100,100,100
Empregados e trabalhador domésticos,45573.363,2709.929,8590.885,22797.339,7535.145,3940.065,Empregados e trabalhador domésticos,75.3,73.2,73.1,76.9,74.3,75.1
Com carteira de trabalho assinada,29531.341,1305.622,4553.699,15969.128,5317.11,2385.782,Com carteira de trabalho assinada,48.8,35.3,38.7,53.9,52.4,45.5
Militares e funcionários públicos estatutários,6144.558,543.071,1350.241,2605.928,974.078,671.24,Militares e funcionários públicos estatutários,10.2,14.7,11.5,8.8,9.6,12.8
Outros sem carteira de trabalho assinada,9897.464,861.236,2686.945,4222.283,1243.957,883.043,Outros sem carteira de trabalho assinada,16.4,23.3,22.9,14.2,12.3,16.8
Empregados,42792.926,2536.725,8001.212,21418.627,7151.004,3685.358,Empregados,70.7,68.5,68,72.3,70.5,70.2
Com carteira de trabalho assinada,28529.56,1266.843,4388.916,15423.099,5165.992,2284.71,Com carteira de trabalho assinada,47.2,34.2,37.3,52,50.9,43.5
Militares e funcionários públicos estatutários,6144.558,543.071,1350.241,2605.928,974.078,671.24,Militares e funcionários públicos estatutários,10.2,14.7,11.5,8.8,9.6,12.8
Outros sem carteira de trabalho assinada,8118.808,726.811,2262.055,3389.6,1010.934,729.408,Outros sem carteira de trabalho assinada,13.4,19.6,19.2,11.4,10,13.9
Conta própria,10599.967,716.261,2219.931,5010.297,1704.728,948.75,Conta própria,17.5,19.3,18.9,16.9,16.8,18.1
Empregadores,2871.264,127.246,470.086,1391.808,622.336,259.788,Empregadores,4.7,3.4,4,4.7,6.1,4.9
Não remunerados,990.915,103.236,312.756,309.464,191.125,74.334,Não remunerados,1.6,2.8,2.7,1,1.9,1.4
Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,453.399,46.821,165.261,124.917,90.84,25.56,Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,0.7,1.3,1.4,0.4,0.9,0.5
Não utilizaram,34891.575,3855.309,12369.872,11421.756,4850.908,2393.73,Não utilizaram,100,100,100,100,100,100
Empregados e trabalhador domésticos,18299.94,1636.818,5476.471,7099.498,2639.984,1447.169,Empregados e trabalhador domésticos,52.4,42.5,44.3,62.2,54.4,60.5
Com carteira de trabalho assinada,9310.155,570.929,1880.899,4323.15,1705.646,829.531,Com carteira de trabalho assinada,26.7,14.8,15.2,37.9,35.2,34.7
Militares e funcionários públicos estatutários,1183.453,162.005,418.206,371.566,133.995,97.681,Militares e funcionários públicos estatutários,3.4,4.2,3.4,3.3,2.8,4.1
Outros sem carteira de trabalho assinada,7806.332,903.884,3177.366,2404.782,800.343,519.957,Outros sem carteira de trabalho assinada,22.4,23.4,25.7,21.1,16.5,21.7
Empregados,14771.71,1373.698,4552.933,5540.427,2164.58,1140.072,Empregados,42.3,35.6,36.8,48.5,44.6,47.6
Com carteira de trabalho assinada,8295.787,521.585,1724.151,3778.488,1558.646,712.917,Com carteira de trabalho assinada,23.8,13.5,13.9,33.1,32.1,29.8
Militares e funcionários públicos estatutários,1183.453,162.005,418.206,371.566,133.995,97.681,Militares e funcionários públicos estatutários,3.4,4.2,3.4,3.3,2.8,4.1
Outros sem carteira de trabalho assinada,5292.47,690.108,2410.576,1390.373,471.939,329.474,Outros sem carteira de trabalho assinada,15.2,17.9,19.5,12.2,9.7,13.8
Conta própria,11223.159,1490.511,4361.965,3187.54,1479.299,703.844,Conta própria,32.2,38.7,35.3,27.9,30.5,29.4
Empregadores,679.302,68.709,175.363,244.353,125.109,65.768,Empregadores,1.9,1.8,1.4,2.1,2.6,2.7
Não remunerados,1295.603,265.901,543.973,230.803,205.18,49.746,Não remunerados,3.7,6.9,4.4,2,4.2,2.1
Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,3393.571,393.37,1812.1,659.562,401.336,127.203,Trabalhadores na produção para o próprio consumo ou na construção para o próprio uso,9.7,10.2,14.6,5.8,8.3,5.3
,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,
