"Tabela 1.1.34.1 - Pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,"Tabela 1.1.34.2 - Distribuição das pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015",Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
Paraíba,3411.321,998.12,508.738,276.677,1106.749,235.961,146.096,82.741,41.369,Paraíba,100,29.3,14.9,8.1,32.4,6.9,4.3,2.4,1.2
Pernambuco,8100.013,2659,985.78,602.535,2737.632,550.957,268.597,167.355,87.269,Pernambuco,100,32.8,12.2,7.4,33.8,6.8,3.3,2.1,1.1
Região Metropolitana de Recife,3454.326,1126.56,300.355,197.134,1200.638,300.922,162.439,99.659,61.114,Região Metropolitana de Recife,100,32.6,8.7,5.7,34.8,8.7,4.7,2.9,1.8
Alagoas,2849.124,976.563,387.584,182.47,974.048,162.974,83.682,53.491,11.326,Alagoas,100,34.3,13.6,6.4,34.2,5.7,2.9,1.9,0.4
Sergipe,1920.947,574.45,287.413,161.66,634.206,126.481,70.388,42.151,13.565,Sergipe,100,29.9,15,8.4,33,6.6,3.7,2.2,0.7
Bahia,13085.093,3891.388,1790.215,1157.739,4401.439,943.245,469.849,270.314,105.475,Bahia,100,29.7,13.7,8.8,33.6,7.2,3.6,2.1,0.8
Região Metropolitana de Salvador,3477.228,971.94,262.724,236.859,1253.153,331.924,204.938,139.426,60.808,Região Metropolitana de Salvador,100,28,7.6,6.8,36,9.5,5.9,4,1.7
Sudeste,75598.609,21842.837,2706.521,2623.869,24185.579,10797.579,6540.301,3785.938,1863.209,Sudeste,100,28.9,3.6,3.5,32,14.3,8.7,5,2.5
Minas Gerais,18379.764,5223.318,1003.924,828.818,6744.326,2255.946,1196.342,704.695,349.995,Minas Gerais,100,28.4,5.5,4.5,36.7,12.3,6.5,3.8,1.9
Região Metropolitana de Belo Horizonte,4625.536,1289.19,145.261,162.176,1571.38,627.667,390.345,257.934,150.219,Região Metropolitana de Belo Horizonte,100,27.9,3.1,3.5,34,13.6,8.4,5.6,3.2
Espírito Santo,3427.822,1020.083,172.717,164.31,1144.203,429.377,254.868,134.921,65.969,Espírito Santo,100,29.8,5,4.8,33.4,12.5,7.4,3.9,1.9
Rio de Janeiro,14646.539,4269.766,493.731,552.568,4791.162,2005.677,1178.252,747.026,411.612,Rio de Janeiro,100,29.2,3.4,3.8,32.7,13.7,8,5.1,2.8
Região Metropolitana do Rio de Janeiro,10770.231,3102.225,341.78,390.085,3384.827,1539.3,906.58,601.007,357.673,Região Metropolitana do Rio de Janeiro,100,28.8,3.2,3.6,31.4,14.3,8.4,5.6,3.3
São Paulo,39144.484,11329.67,1036.149,1078.173,11505.888,6106.579,3910.839,2199.296,1035.633,São Paulo,100,28.9,2.6,2.8,29.4,15.6,10,5.6,2.6
Região Metropolitana de São Paulo,18604.133,5549.39,482.804,489.239,5134.381,2778.486,1838.669,1175.258,643.009,Região Metropolitana de São Paulo,100,29.8,2.6,2.6,27.6,14.9,9.9,6.3,3.5
Sul,25771.8,6416.769,858.519,968.454,8333.608,4324.007,2571.965,1462.717,578.47,Sul,100,24.9,3.3,3.8,32.3,16.8,10,5.7,2.2
Paraná,9745.617,2626.236,353.767,386.53,3141.655,1507.311,890.232,533.549,226.763,Paraná,100,26.9,3.6,4,32.2,15.5,9.1,5.5,2.3
Região Metropolitana de Curitiba,3030.41,839.49,62.909,80.213,835.645,525.89,341.442,211.79,111.896,Região Metropolitana de Curitiba,100,27.7,2.1,2.6,27.6,17.4,11.3,7,3.7
Santa Catarina,6048.506,1434.544,115.372,169.813,1817.245,1200.231,730.908,371.163,129.696,Santa Catarina,100,23.7,1.9,2.8,30,19.8,12.1,6.1,2.1
Rio Grande do Sul,9977.677,2355.989,389.38,412.111,3374.708,1616.465,950.825,558.005,222.011,Rio Grande do Sul,100,23.6,3.9,4.1,33.8,16.2,9.5,5.6,2.2
Região Metropolitana de Porto Alegre,3722.776,907.644,98.111,119.366,1209.533,589.241,377.051,227.101,124.43,Região Metropolitana de Porto Alegre,100,24.4,2.6,3.2,32.5,15.8,10.1,6.1,3.3
Centro-Oeste,13339.641,3762.96,568.109,516.53,4265.402,1867.857,1100.944,757.525,414.405,Centro-Oeste,100,28.2,4.3,3.9,32,14,8.3,5.7,3.1
Mato Grosso do Sul,2283.967,597.37,118.416,96.339,764.412,319.468,197.514,132.569,55.23,Mato Grosso do Sul,100,26.2,5.2,4.2,33.5,14,8.6,5.8,2.4
Mato Grosso,2766.131,781.186,133.991,103.342,900.309,409.411,236.902,123.921,49.043,Mato Grosso,100,28.2,4.8,3.7,32.5,14.8,8.6,4.5,1.8
Goiás,5730.676,1614.961,252.744,241.881,1982.121,830.992,449.44,241.436,77.763,Goiás,100,28.2,4.4,4.2,34.6,14.5,7.8,4.2,1.4
Distrito Federal,2558.867,769.443,62.958,74.968,618.56,307.986,217.088,259.599,232.369,Distrito Federal,100,30.1,2.5,2.9,24.2,12,8.5,10.1,9.1
,,,,,,,,,,,,,,,,,,,
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,,"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.",,,,,,,,,
(1) Inclusive as pessoas sem declaração de rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,,,,,(1) Inclusive as pessoas sem declaração de rendimento mensal. (2) Inclusive as pessoas que recebiam somente em benefícios.,,,,,,,,,
